# kinematic_a = 2.049260
# kinematic_b = 0.667339
# shrinkage_k = 2
# density_bands = 0,1,2
# carrying_values = 0,1
# built_at = 2026-05-14T08:14:58.305791Z
# train_rows = 19473
# seeds = 0,1,2,3,4
KIND;FROM;TO;EDGE_TYPE;CARRYING;DENSITY;RESIDUAL;COUNT;STD;P90
EDGE;61;106;PodStorageAccess;1;0;0.269361;15;0.000000;0.283401
EDGE;61;106;PodStorageAccess;1;1;0.271363;1;0.000000;0.283401
EDGE;62;16;StationEntrance;1;0;0.952973;2;2.828427;3.548722
EDGE;62;16;StationEntrance;1;1;-0.103067;1;0.000000;-0.051278
EDGE;62;17;StationEntrance;1;0;0.247260;17;0.000000;0.281382
EDGE;62;324;Merge;1;0;-0.205715;2;0.000000;-0.383939
EDGE;62;324;Merge;1;1;-0.009435;1;0.000000;-0.383939
EDGE;62;325;Merge;1;0;0.759044;3;1.000000;2.083401
EDGE;62;325;Merge;1;1;0.546345;1;0.000000;1.283401
EDGE;63;61;Merge;1;0;-0.146307;1;0.000000;-0.383939
EDGE;63;62;Merge;1;0;0.959044;3;1.527525;2.883401
EDGE;63;62;Merge;1;1;0.546345;1;0.000000;1.283401
EDGE;63;88;Merge;1;0;0.126945;2;0.000000;0.281382
EDGE;63;134;PodStorageAccess;1;0;0.273456;22;0.000000;0.283401
EDGE;63;140;PodStorageAccess;1;1;0.270017;1;0.000000;0.279364
EDGE;64;20;StationEntrance;1;0;-0.047877;3;0.000000;-0.051278
EDGE;64;20;StationEntrance;1;1;-0.103067;1;0.000000;-0.051278
EDGE;64;62;Merge;1;1;-0.009435;1;0.000000;-0.383939
EDGE;64;148;PodStorageAccess;1;0;0.223732;2;0.000000;0.283401
EDGE;64;328;Merge;1;0;0.294285;2;1.414214;1.416061
EDGE;64;328;Merge;1;1;3.323898;1;0.000000;9.616061
EDGE;64;329;Merge;1;0;0.159044;3;0.000000;0.283401
EDGE;65;1;StationEntrance;1;0;0.181558;5;0.000000;0.271291
EDGE;65;1;StationEntrance;1;1;0.004456;1;0.000000;0.271291
EDGE;65;60;Merge;1;0;-0.197280;23;0.576208;-0.385957
EDGE;65;60;Merge;1;1;-0.010108;1;0.000000;-0.385957
EDGE;65;61;Merge;1;0;0.229903;10;0.000000;0.281382
EDGE;65;61;Merge;1;1;0.229600;2;0.000000;0.281382
EDGE;65;62;Merge;1;0;-0.035420;1;0.000000;-0.051278
EDGE;65;63;Merge;1;0;-0.148294;18;0.646762;0.216061
EDGE;65;63;Merge;1;1;-0.159236;3;0.000000;-0.383939
EDGE;65;64;Merge;1;0;0.436536;7;0.487950;1.283401
EDGE;65;88;Merge;1;0;-0.051453;26;0.000000;-0.053297
EDGE;65;88;Merge;1;1;0.100779;1;0.000000;-0.053297
EDGE;65;163;Merge;1;0;-0.205715;2;0.000000;-0.383939
EDGE;65;164;Merge;1;0;-0.045992;7;0.000000;-0.051278
EDGE;65;165;Merge;1;0;0.178424;4;0.000000;0.281382
EDGE;65;165;Merge;1;1;0.545672;1;0.000000;1.281382
EDGE;65;166;Merge;1;0;-0.206724;2;0.000000;-0.385957
EDGE;65;166;Merge;1;1;0.656559;1;0.000000;1.614043
EDGE;65;167;Merge;1;0;-0.044695;4;0.000000;-0.053297
EDGE;65;167;Merge;1;1;0.100779;1;0.000000;-0.053297
EDGE;65;168;Merge;1;0;0.074794;1;0.000000;0.279364
EDGE;65;169;Merge;1;0;-0.147653;1;0.000000;-0.387975
EDGE;65;299;Merge;1;0;-0.332940;10;0.000000;-0.394030
EDGE;65;299;Merge;1;1;-0.203414;4;0.000000;-0.394030
EDGE;66;62;Merge;1;2;0.963602;1;0.000000;2.281382
EDGE;66;63;Merge;1;0;-0.035420;1;0.000000;-0.051278
EDGE;66;65;Merge;1;0;1.377955;2;0.707107;3.183401
EDGE;66;176;PodStorageAccess;1;0;0.266352;12;0.000000;0.283401
EDGE;66;176;PodStorageAccess;1;1;0.271363;1;0.000000;0.283401
EDGE;66;333;Merge;1;0;0.377955;2;0.707107;1.183401
EDGE;67;62;Merge;1;0;-0.266469;4;0.000000;-0.385957
EDGE;67;64;Merge;1;0;-0.039385;2;0.000000;-0.051278
EDGE;67;65;Merge;1;0;-0.282097;5;0.000000;-0.383939
EDGE;67;66;Merge;1;0;0.409473;1;0.000000;1.283401
